School Name,Address,State Name [Public School] Latest available year,Location ZIP [Public School] 2011-12,Location City [Public School] 2011-12
AVIATION CAREER AND TECHNICAL HIGH SCHOOL,"45-30 36th Street, Long Island City, NY 11101",New York,11101,Queens
INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C,"45-35 Van Dam Street, Long Island City, NY 11101",New York,11101,Queens
NEWCOMERS HIGH SCHOOL,"2801 41st Avenue, Long Island City, NY 11101",New York,11101,Queens
FLUSHING INTERNATIONAL HIGH SCHOOL,"144-80 Barclay Avenue, Flushing, NY 11355",New York,11355,Queens
PAN AMERICAN INTERNATIONAL HIGH SCHOOL,"45-10 94th Street, Elmhurst, NY 11373",New York,11373,Queens
QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,"162-02 HILLSIDE AVENUE, Queens NY 11432",New York,11432,Queens
YOUNG WOMEN'S LEADERSHIP SCHOOL,"23-15 NEWTOWN AVENUE, Queens NY 11102",New York,11102,Queens
Energy Tech High School,"36-41 28 St, Queens NY 11106",New York,11106,Queens
Francis Lewis High School,"58-20 Utopia Parkway, Queens NY 11365",New York,11365,Queens
George Washington Carver High School for the Science,"143-10 Sprinfield Blvd, Queens NY 11413",New York,11413,Queens
INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,"207- 01 116TH AVENUE, Queens NY 11411",New York,11411,Queens
INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,"48-01 90 St, Queens NY 11373",New York,11373,Queens
LONG ISLAND CITY HIGH SCHOOL,"14-30 Broadway, Queens NY 11106",New York,11106,Queens
"Queens High School for Information, Research & Technology (QIRT)","8-21 Bay 25th Street, Far Rockaway, NY 11691",New York,11691,Queens
Richmond Hill High School,"89-30 114th Street, Richmond Hill, NY 11418",New York,11418,Queens
Thomas Edison Career and Technical Education High School,"165-65 84th Avenue, Jamaica, NY 11432",New York,11432,Queens
