School Name,Address,Minutes from Grand Central Terminal,Minutes from Fulton Center,Minutes from MetroTech Center
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,"220 HENRY ST, NEW YORK NY 10003",23,20,13
HERITAGE SCHOOL,"1680 LEXINGTON AVE, NEW YORK NY 10002",13,27,44
HIGH SCHOOL FOR ARTS AND BUSINESS,"105-25 HORACE HARDING EXPY N, Queens NY 11368",50,66,62
"High School for Arts, Imagination and Inquiry","122 Amsterdam Avenue, New York, NY 10023",27,31,37
HIGH SCHOOL FOR CIVIL RIGHTS,"400 PENNSYLVANIA AVE, BROOKLYN NY 11368",43,35,33
HIGH SCHOOL FOR COMMUNITY LEADERSHIP,"167 01 GOTHIC DR, JAMAICA NY 11207",40,50,60
HIGH SCHOOL FOR CONTEMPORARY ARTS,"800 EAST GUN HILL RD, BRONX NY 11211",47,57,73
HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,"350 GRAND ST, NEW YORK NY 10034",22,18,12
HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,"2474 CROTONA AVENUE, Bronx, NY 10458",55,69,77
HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,"444 WEST 56TH ST, NEW YORK NY 10040",18,30,38
HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,"650 ACADEMY ST, NEW YORK NY 11236",50,50,50
High School for Global Citizenship,"883 Classon Avenue, Brooklyn, NY 11225",29,22,18
HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,"549 AUDUBON AVE, NEW YORK NY 10469",41,49,60
HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,345 East 15th Sst Manhattan NY 10003,15,23,30
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,"1600 Rockaway Parkway, Brooklyn NY 11236",54,63,57
High School for Language and Diplomacy,"40 IRVING PLACE, Manhattan New York 10003",12,10,23
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,"549 Audubon Ave, New York, NY 10040",56,55,50
"High School for Law, Advocacy and Community Justice","122 AMSTERDAM AVE, NEW YORK NY 10468",19,23,34
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,"549 AUDUBON AVE, NEW YORK NY 11226",41,49,60
HIGH SCHOOL FOR MEDICAL PROFESSIONS,"1600 ROCKAWAY PARKWAY, BROOKLYN NY 10023",49,48,45
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,"600 Kingston Avenue, Brooklyn, NY 11203",49,34,31
HIGH SCHOOL FOR SERVICE AND LEARNING AT ERASMUS,"911 FLATBUSH AVE, BROOKLYN NY 10467",47,36,29
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,"2780 Reservoir Avenue, Bronx, NY 10468",39,54,69
HIGH SCHOOL FOR VIOLIN AND DANCE,"1100 BOSTON RD, BRONX NY 10006",39,51,66
High School for Youth and Community Development at Erasmus,"911 FLATBUSH AVENUE, Brooklyn NY 11226",45,39,25
HIGH SCHOOL OF APPLIED COMMUNICATION,"30-20 Thomson Avenue, Long Island City, NY 11101",18,37,38
